id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Sig
YOR107W,2285.404275,-1.2100577,0.212805713,-5.68620871,1.30E-08,2.78E-05,Down
YPL019C,13941.2785,-4.225752167,0.835225678,-5.059413617,4.21E-07,0.000402186,Down
YJL079C,4088.993197,-1.727382777,0.345229554,-5.003577349,5.63E-07,0.000402186,Down
YDR281C,3579.348832,-6.982914401,1.414982059,-4.934984409,8.02E-07,0.000418229,Down
YBR093C,50788.45605,-7.250252361,1.480686471,-4.896547989,9.75E-07,0.000418229,Down
YBR184W,198.1049705,1.314245737,0.26918237,4.882361856,1.05E-06,NA,Up
YBR296C,14619.11853,-8.122706172,1.678259263,-4.839959089,1.30E-06,0.000464054,Down
YDR481C,10035.47205,-3.347122342,0.716614833,-4.670741087,3.00E-06,0.00088073,Down
YBR285W,423.58808,-3.98734993,0.855485251,-4.660921886,3.15E-06,NA,Down
YBR296C-A,70.22977575,-5.290823924,1.136643362,-4.654779239,3.24E-06,NA,Down
YIL011W,413.2056031,-1.222098121,0.267519452,-4.56825892,4.92E-06,NA,Down
YPL018W,1027.904852,-3.219323888,0.704790321,-4.567775399,4.93E-06,NA,Down
YPL110C,3891.094647,-3.164591291,0.698400377,-4.531199286,5.86E-06,0.001278209,Down
YER037W,4509.948647,-3.750437381,0.837604365,-4.477576212,7.55E-06,0.001278209,Down
YAR071W,7568.810667,-6.591155353,1.47627293,-4.464726825,8.02E-06,0.001278209,Down
YML123C,39080.01955,-6.113452728,1.369850244,-4.462862094,8.09E-06,0.001278209,Down
YHR215W,10306.26073,-6.68684116,1.498538061,-4.462243125,8.11E-06,0.001278209,Down
YMR195W,4049.593536,-3.423342764,0.768237874,-4.456097364,8.35E-06,0.001278209,Down
YJL012C,12984.21093,-3.003084891,0.677474894,-4.432761891,9.30E-06,0.00132976,Down
YHR136C,1902.490375,-7.046249609,1.604163572,-4.392475762,1.12E-05,0.0015017,Down
YKR039W,2348.859397,-3.230930858,0.738989517,-4.372092948,1.23E-05,0.001552018,Down
YMR120C,6047.938161,-1.679377834,0.391694976,-4.287463297,1.81E-05,0.002152637,Down
YOR298C-A,6031.562637,1.489166593,0.349281671,4.26351199,2.01E-05,0.00227082,Up
YOR237W,320.1697994,-2.261272925,0.533668234,-4.237226013,2.26E-05,NA,Down
YGR256W,1345.233744,-3.371231558,0.797502648,-4.227235568,2.37E-05,NA,Down
YJL056C,1381.731178,-1.733545985,0.41074942,-4.220446582,2.44E-05,NA,Down
YCR098C,2598.083116,-5.338104851,1.280476509,-4.168842468,3.06E-05,0.003281933,Down
YHR137W,489.2217213,-3.235953313,0.779727633,-4.150107263,3.32E-05,NA,Down
YCL038C,1672.668141,-2.396810649,0.580085464,-4.131823323,3.60E-05,NA,Down
YLR121C,1755.667225,-1.621701614,0.394372409,-4.112107184,3.92E-05,NA,Down
YHR033W,1913.526317,-2.920473762,0.710607046,-4.109829447,3.96E-05,0.003858727,Down
YKL051W,2319.358749,-1.508963211,0.37358741,-4.039116871,5.37E-05,0.005001377,Down
YMR175W,298.3487999,-3.54046093,0.87682005,-4.037842119,5.39E-05,NA,Down
